web-scraper-order,web-scraper-start-url,tag,date,title
"1576034484-606","https://www.ettoday.net/news/news-list.htm","健康","2019/12/10 14:22","菇類長白毛！專家解答「菌絲or發霉」...遇1情況＝別再吃了"
"1576034484-409","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 17:26","北上送貨遇死劫！運將拋飛倖存　妻女燒成焦屍剩他獨活...家屬忍痛赴桃殯指認"
"1576034484-672","https://www.ettoday.net/news/news-list.htm","時尚","2019/12/10 12:47","提著高調又閃亮！Rimowa限量金色手提箱　上班族還不趕快買起來"
"1576034484-726","https://www.ettoday.net/news/news-list.htm","寵物動物","2019/12/10 11:50","太胖怕滑倒受傷！暖爸抱惡霸犬「嬰兒學走路」　扭屁股超萌Q"
"1576034484-500","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 16:01","「12小時班」沒加班費！血汗護理師離職提告　新竹國泰醫院要賠15萬"
"1576034484-53","https://www.ettoday.net/news/news-list.htm","生活","2019/12/11 10:25","校園轉型正義首例！名醫唐心北驟逝...陽明大撤大過並納校史"
"1576034484-193","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 23:17","挺藍同志祁家威表態支持蔡英文　區域立委保住蔣萬安、林奕華"
"1576034484-257","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 20:53","批民進黨拿國家資源打選戰　韓國瑜：2020是乞丐與王子的戰爭"
"1576034484-513","https://www.ettoday.net/news/news-list.htm","房產雲","2019/12/10 15:52","越老越值錢！全台「身價最高」國宅屋主持有5年　轉手大賺千萬"
"1576034484-609","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 14:18","親民黨全國競選總部成立　郭台銘：恭喜宋楚瑜一馬當先"
"1576034484-331","https://www.ettoday.net/news/news-list.htm","時尚","2019/12/10 19:01","謝佳見酒後「故意」四腳朝天摔跤　自誇可愛連簡廷芮都讚看到另一面"
"1576034484-551","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 15:14","歲末電商購物節夯！　刑事局「防詐三招」讓詐騙集團退散"
"1576034484-108","https://www.ettoday.net/news/news-list.htm","財經","2019/12/11 08:50","美股漲跌互見 　台指期開盤下跌24點"
"1576034484-253","https://www.ettoday.net/news/news-list.htm","健康","2019/12/10 21:01","不只內蒙古鼠疫！中國大陸福建、安徽爆H9N2新A流病例"
"1576034484-533","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 15:32","票投小黨是浪費？時力嗆民進黨：一定會過5%、黃國昌留國會是共識"
"1576034484-325","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 19:09","SEVENTEEN確定五度來台！　229「林口開唱」陪克拉過連假"
"1576034484-49","https://www.ettoday.net/news/news-list.htm","社會","2019/12/11 10:35","地面滑行擦出一道火花　車屁股挨撞！機車瞬間「街頭火球」成廢鐵"
"1576034484-651","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 13:16","高爾宣、ØZI過年嗨炸《紅白》！　登巨蛋超緊張...曝新專輯進度"
"1576034484-286","https://www.ettoday.net/news/news-list.htm","體育","2019/12/10 19:51","空手道小清新文姿云　過年展開60天長征拚奧運"
"1576034484-33","https://www.ettoday.net/news/news-list.htm","政治","2019/12/11 10:51","比蔣萬安、吳怡農還強！陳玉珍夾手「網路聲量直衝第一」　黃昭順擠入前五"
"1576034484-299","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 19:38","調查局推新一代看板娘　樂團女主唱破億元吸金案…逛PTT黃國昌臉書挖線索"
"1576034484-63","https://www.ettoday.net/news/news-list.htm","社會","2019/12/11 10:18","醉客喝茫盧帳單遭店家「冰桶」洗臉！這一下…爆頭滿臉「血瀑布」"
"1576034484-600","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 14:32","桃園台7線砂石車自撞分隔島　路燈應聲倒！又是酒駕肇事"
"1576034484-710","https://www.ettoday.net/news/news-list.htm","3C家電","2019/12/10 12:04","Google更新升級ARCore　讓擴增實境（AR）更生動更真實！"
"1576034484-376","https://www.ettoday.net/news/news-list.htm","保險","2019/12/10 18:04","幼童10月大「三度受暴」遭打到骨折！永達連續8年義賣紅包　募128萬幫助弱勢孩兒"
"1576034484-382","https://www.ettoday.net/news/news-list.htm","大陸","2019/12/10 17:56","華聞快遞／進一步開發國際市場！海南大力發展花卉產業"
"1576034484-591","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 14:40","獨家直擊／王力宏現身高以翔靈堂！　神情哀痛「8年前曾一起當伴郎」"
"1576034484-230","https://www.ettoday.net/news/news-list.htm","地方","2019/12/10 21:38","台南市警局工友剪樹摔重傷　警長周幼偉探視慰問助度難關"
"1576034484-398","https://www.ettoday.net/news/news-list.htm","生活","2019/12/10 17:43","導航機訊號飄n條街！朋友見狀「現在都用手機」印腦海　他求證：真的嗎"
"1576034484-418","https://www.ettoday.net/news/news-list.htm","健康","2019/12/10 17:22","「癌末總舖師」因病淚別廚房　「醫院辦桌」圓夢：拿起鍋鏟就充滿力氣"
"1576034484-658","https://www.ettoday.net/news/news-list.htm","旅遊","2019/12/10 13:02","曼谷BTS淺綠色線全新4車站啟用　即日起免費搭到明年1月2日"
"1576034484-620","https://www.ettoday.net/news/news-list.htm","房產雲","2019/12/10 14:04","房仲信心找回來！2年展店超過300間　桃園擴展最迅速"
"1576034484-312","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 16:07","藍委要「蘇貞昌踹共」！政院接陳情書：3天內答覆"
"1576034484-581","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 14:47","選舉奧步！　民調抹黑張瀚天　警方鎖定1家民調公司追查"
"1576034484-129","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/11 07:21","名模結婚不到1年慘遭家暴…不滿10月雙胞胎「目睹全程」！　老公：我那天失憶"
"1576034484-531","https://www.ettoday.net/news/news-list.htm","大陸","2019/12/10 15:33","傳密會落選區議員！林鄭月娥認「區選建制敗與政府有關」：不會變陌路人"
"1576034484-460","https://www.ettoday.net/news/news-list.htm","時尚","2019/12/10 16:40","女神艾瑪華森一頭亂髮亮相首映　「中毒唇仙氣全散」粉絲超崩潰"
"1576034484-721","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 11:54","快訊／台七線桃園羅浮卡車翻覆！　砂石散落一地"
"1576034484-365","https://www.ettoday.net/news/news-list.htm","國際","2019/12/10 18:21","紐西蘭火山爆發增至6死　官員曝：燒燙傷病房全滿床「多人命危」！"
"1576034484-512","https://www.ettoday.net/news/news-list.htm","地方","2019/12/10 15:53","世界展望會台東地區反霸凌宣導　兒童透過遊戲學習自我保護"
"1576034484-419","https://www.ettoday.net/news/news-list.htm","房產雲","2019/12/10 17:22","半夜11點「洗衣很沒品」？401租客貼紙條秀下限　租屋哥爆氣：妳12點才洗"
"1576034484-163","https://www.ettoday.net/news/news-list.htm","網搜","2019/12/11 01:15","大媽撞車想直接騎走…被攔停竟暴怒狂罵　「離譜態度」讓萬名網友怒了"
"1576034484-619","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 14:04","便當盒之亂！賴惠員控送塑膠盒是賄選　蔡育輝：你送鐵便當我都沒講你"
"1576034484-499","https://www.ettoday.net/news/news-list.htm","時尚","2019/12/10 16:02","「穿襪睡覺」保暖又可治失眠　2重點要注意不然更慘"
"1576034484-250","https://www.ettoday.net/news/news-list.htm","體育","2019/12/10 21:02","追風女俠陳宇璿愛心不落人後　拼破馬拉松PB不忘做善事"
"1576034484-245","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 21:11","金球獎話題-2／史上最年輕影帝入圍者！12歲童星「超狂家庭背景」曝光"
"1576034484-223","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 21:49","驚！愛紗被按摩師要求全裸　按到一半「內褲遭硬扯掉」"
"1576034484-148","https://www.ettoday.net/news/news-list.htm","國際","2019/12/11 05:24","影／美澤西市槍擊4死3傷　2槍手「埋伏雜貨店」掃射...被制伏後身亡"
"1576034484-775","https://www.ettoday.net/news/news-list.htm","生活","2019/12/10 11:06","夢中白淨男孩「我是妳兒子！」　她生完滿月得知巧合數字：彌補多年缺憾"
"1576034484-361","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 18:25","陸海空軍武器皆入列　國軍2020形象月曆超吸睛"
"1576034484-762","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 11:15","立院三讀／國家電影中心法制化　2021年永久落腳新莊"
"1576034484-244","https://www.ettoday.net/news/news-list.htm","大陸","2019/12/10 21:14","拇指寬可愛小蛇當寵物！養4年爆肥「模樣崩壞」　他驚嚇：怎麼長這樣"
"1576034484-639","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 13:30","小嫻隔6年跳鋼管「全身體無完膚」　踩15公分高跟鞋狂轉：我要吞暈車藥"
"1576034484-475","https://www.ettoday.net/news/news-list.htm","國際","2019/12/10 16:23","肯德基推出「有炸雞香味」木柴！加了11種香料...一天就賣光"
"1576034484-725","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 11:50","苗栗外籍移工屋內烤火取暖「窗開一小縫」　4人一氧化碳中毒1昏迷"
"1576034484-706","https://www.ettoday.net/news/news-list.htm","時尚","2019/12/10 12:08","安格斯12星座一周運勢12/9-12/15　牡羊有開心事降臨、水瓶準備告別單身"
"1576034484-722","https://www.ettoday.net/news/news-list.htm","大陸","2019/12/10 11:54","華聞快遞／大陸11月CPI年增率漲4.5%：豬肉價格是主因　上漲勢頭已減弱"
"1576034484-264","https://www.ettoday.net/news/news-list.htm","網搜","2019/12/10 20:38","尾牙菜單超心酸！KTV一桌700元吃「10道小菜」　員工傻眼：難怪一半人不去"
"1576034484-547","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 15:16","蔡正元公開呼籲「杯葛謝震武」　怒批討好綠營抓韓國瑜小辮子狂轟猛炸"
"1576034484-747","https://www.ettoday.net/news/news-list.htm","ET車雲","2019/12/10 11:30","商用車安全性能全面提升！20年冠軍中華菱利讓頭家安心拚事業"
"1576034484-436","https://www.ettoday.net/news/news-list.htm","生活","2019/12/10 17:04","一次休4個月！15年跑船哥「月薪90K」想考公職　現實面惹心酸...網狂勸退"
"1576034484-715","https://www.ettoday.net/news/news-list.htm","生活","2019/12/10 11:59","高雄國旅補助效益第4！帶動逾10億消費　林佳龍酸「市長放韓假我來幫忙」"
"1576034484-736","https://www.ettoday.net/news/news-list.htm","寵物動物","2019/12/10 11:39","汪汪被包成傷患犬！轉頭「尷尬臉」笑翻全家人　哥曝老媽怕冷藝術"
